'Time and date','ECG '
'[05:05:15.280 01/05/2000]',-0.213
'[05:05:15.283 01/05/2000]',-0.209
'[05:05:15.287 01/05/2000]',-0.204
'[05:05:15.290 01/05/2000]',-0.195
'[05:05:15.293 01/05/2000]',-0.187
'[05:05:15.297 01/05/2000]',-0.179
'[05:05:15.300 01/05/2000]',-0.172
'[05:05:15.303 01/05/2000]',-0.169
'[05:05:15.307 01/05/2000]',-0.166
'[05:05:15.310 01/05/2000]',-0.164
'[05:05:15.313 01/05/2000]',-0.161
'[05:05:15.317 01/05/2000]',-0.159
'[05:05:15.320 01/05/2000]',-0.157
'[05:05:15.323 01/05/2000]',-0.156
'[05:05:15.327 01/05/2000]',-0.154
'[05:05:15.330 01/05/2000]',-0.153
'[05:05:15.333 01/05/2000]',-0.153
'[05:05:15.337 01/05/2000]',-0.154
'[05:05:15.340 01/05/2000]',-0.155
'[05:05:15.343 01/05/2000]',-0.157
'[05:05:15.347 01/05/2000]',-0.159
'[05:05:15.350 01/05/2000]',-0.160
'[05:05:15.353 01/05/2000]',-0.162
'[05:05:15.357 01/05/2000]',-0.164
'[05:05:15.360 01/05/2000]',-0.166
'[05:05:15.363 01/05/2000]',-0.167
'[05:05:15.367 01/05/2000]',-0.169
'[05:05:15.370 01/05/2000]',-0.170
'[05:05:15.373 01/05/2000]',-0.171
'[05:05:15.377 01/05/2000]',-0.174
'[05:05:15.380 01/05/2000]',-0.177
'[05:05:15.383 01/05/2000]',-0.177
'[05:05:15.387 01/05/2000]',-0.171
'[05:05:15.390 01/05/2000]',-0.158
'[05:05:15.393 01/05/2000]',-0.121
'[05:05:15.397 01/05/2000]',-0.066
'[05:05:15.400 01/05/2000]',0.011
'[05:05:15.403 01/05/2000]',0.109
'[05:05:15.407 01/05/2000]',0.219
'[05:05:15.410 01/05/2000]',0.331
'[05:05:15.413 01/05/2000]',0.434
'[05:05:15.417 01/05/2000]',0.519
'[05:05:15.420 01/05/2000]',0.575
'[05:05:15.423 01/05/2000]',0.593
'[05:05:15.427 01/05/2000]',0.578
'[05:05:15.430 01/05/2000]',0.533
'[05:05:15.433 01/05/2000]',0.440
'[05:05:15.437 01/05/2000]',0.329
'[05:05:15.440 01/05/2000]',0.213
'[05:05:15.443 01/05/2000]',0.099
'[05:05:15.447 01/05/2000]',-0.003
'[05:05:15.450 01/05/2000]',-0.088
'[05:05:15.453 01/05/2000]',-0.153
'[05:05:15.457 01/05/2000]',-0.189
'[05:05:15.460 01/05/2000]',-0.210
'[05:05:15.463 01/05/2000]',-0.222
'[05:05:15.467 01/05/2000]',-0.230
'[05:05:15.470 01/05/2000]',-0.237
'[05:05:15.473 01/05/2000]',-0.243
'[05:05:15.477 01/05/2000]',-0.248
'[05:05:15.480 01/05/2000]',-0.253
'[05:05:15.483 01/05/2000]',-0.256
'[05:05:15.487 01/05/2000]',-0.260
'[05:05:15.490 01/05/2000]',-0.263
'[05:05:15.493 01/05/2000]',-0.266
'[05:05:15.497 01/05/2000]',-0.267
'[05:05:15.500 01/05/2000]',-0.266
'[05:05:15.503 01/05/2000]',-0.264
'[05:05:15.507 01/05/2000]',-0.259
'[05:05:15.510 01/05/2000]',-0.254
'[05:05:15.513 01/05/2000]',-0.249
'[05:05:15.517 01/05/2000]',-0.244
'[05:05:15.520 01/05/2000]',-0.238
'[05:05:15.523 01/05/2000]',-0.231
'[05:05:15.527 01/05/2000]',-0.224
'[05:05:15.530 01/05/2000]',-0.216
'[05:05:15.533 01/05/2000]',-0.207
'[05:05:15.537 01/05/2000]',-0.199
'[05:05:15.540 01/05/2000]',-0.191
'[05:05:15.543 01/05/2000]',-0.183
'[05:05:15.547 01/05/2000]',-0.176
'[05:05:15.550 01/05/2000]',-0.170
'[05:05:15.553 01/05/2000]',-0.164
'[05:05:15.557 01/05/2000]',-0.159
'[05:05:15.560 01/05/2000]',-0.155
'[05:05:15.563 01/05/2000]',-0.150
'[05:05:15.567 01/05/2000]',-0.143
'[05:05:15.570 01/05/2000]',-0.137
'[05:05:15.573 01/05/2000]',-0.129
'[05:05:15.577 01/05/2000]',-0.122
'[05:05:15.580 01/05/2000]',-0.114
'[05:05:15.583 01/05/2000]',-0.104
'[05:05:15.587 01/05/2000]',-0.092
'[05:05:15.590 01/05/2000]',-0.077
'[05:05:15.593 01/05/2000]',-0.064
'[05:05:15.597 01/05/2000]',-0.052
'[05:05:15.600 01/05/2000]',-0.039
'[05:05:15.603 01/05/2000]',-0.027
'[05:05:15.607 01/05/2000]',-0.014
'[05:05:15.610 01/05/2000]',-0.001
'[05:05:15.613 01/05/2000]',0.009
'[05:05:15.617 01/05/2000]',0.018
'[05:05:15.620 01/05/2000]',0.026
'[05:05:15.623 01/05/2000]',0.034
'[05:05:15.627 01/05/2000]',0.042
'[05:05:15.630 01/05/2000]',0.049
'[05:05:15.633 01/05/2000]',0.053
'[05:05:15.637 01/05/2000]',0.056
'[05:05:15.640 01/05/2000]',0.058
'[05:05:15.643 01/05/2000]',0.061
'[05:05:15.647 01/05/2000]',0.064
'[05:05:15.650 01/05/2000]',0.067
'[05:05:15.653 01/05/2000]',0.070
'[05:05:15.657 01/05/2000]',0.072
'[05:05:15.660 01/05/2000]',0.073
'[05:05:15.663 01/05/2000]',0.073
'[05:05:15.667 01/05/2000]',0.073
'[05:05:15.670 01/05/2000]',0.072
'[05:05:15.673 01/05/2000]',0.071
'[05:05:15.677 01/05/2000]',0.069
'[05:05:15.680 01/05/2000]',0.066
'[05:05:15.683 01/05/2000]',0.062
'[05:05:15.687 01/05/2000]',0.058
'[05:05:15.690 01/05/2000]',0.053
'[05:05:15.693 01/05/2000]',0.049
'[05:05:15.697 01/05/2000]',0.045
'[05:05:15.700 01/05/2000]',0.039
'[05:05:15.703 01/05/2000]',0.030
'[05:05:15.707 01/05/2000]',0.021
'[05:05:15.710 01/05/2000]',0.014
'[05:05:15.713 01/05/2000]',0.007
'[05:05:15.717 01/05/2000]',0.000
'[05:05:15.720 01/05/2000]',-0.007
'[05:05:15.723 01/05/2000]',-0.013
'[05:05:15.727 01/05/2000]',-0.014
'[05:05:15.730 01/05/2000]',-0.010
'[05:05:15.733 01/05/2000]',-0.004
'[05:05:15.737 01/05/2000]',0.000
'[05:05:15.740 01/05/2000]',0.002
'[05:05:15.743 01/05/2000]',0.005
'[05:05:15.747 01/05/2000]',0.007
'[05:05:15.750 01/05/2000]',0.010
'[05:05:15.753 01/05/2000]',0.014
'[05:05:15.757 01/05/2000]',0.018
'[05:05:15.760 01/05/2000]',0.022
'[05:05:15.763 01/05/2000]',0.025
'[05:05:15.767 01/05/2000]',0.028
'[05:05:15.770 01/05/2000]',0.030
'[05:05:15.773 01/05/2000]',0.031
'[05:05:15.777 01/05/2000]',0.032
'[05:05:15.780 01/05/2000]',0.033
'[05:05:15.783 01/05/2000]',0.035
'[05:05:15.787 01/05/2000]',0.037
'[05:05:15.790 01/05/2000]',0.039
'[05:05:15.793 01/05/2000]',0.041
'[05:05:15.797 01/05/2000]',0.042
'[05:05:15.800 01/05/2000]',0.043
'[05:05:15.803 01/05/2000]',0.045
'[05:05:15.807 01/05/2000]',0.047
'[05:05:15.810 01/05/2000]',0.049
'[05:05:15.813 01/05/2000]',0.052
'[05:05:15.817 01/05/2000]',0.054
'[05:05:15.820 01/05/2000]',0.056
'[05:05:15.823 01/05/2000]',0.059
'[05:05:15.827 01/05/2000]',0.061
'[05:05:15.830 01/05/2000]',0.065
'[05:05:15.833 01/05/2000]',0.068
'[05:05:15.837 01/05/2000]',0.073
'[05:05:15.840 01/05/2000]',0.078
'[05:05:15.843 01/05/2000]',0.087
'[05:05:15.847 01/05/2000]',0.096
'[05:05:15.850 01/05/2000]',0.103
'[05:05:15.853 01/05/2000]',0.106
'[05:05:15.857 01/05/2000]',0.107
'[05:05:15.860 01/05/2000]',0.109
'[05:05:15.863 01/05/2000]',0.110
'[05:05:15.867 01/05/2000]',0.111
'[05:05:15.870 01/05/2000]',0.112
'[05:05:15.873 01/05/2000]',0.113
'[05:05:15.877 01/05/2000]',0.113
'[05:05:15.880 01/05/2000]',0.112
'[05:05:15.883 01/05/2000]',0.111
'[05:05:15.887 01/05/2000]',0.110
'[05:05:15.890 01/05/2000]',0.110
'[05:05:15.893 01/05/2000]',0.109
'[05:05:15.897 01/05/2000]',0.110
'[05:05:15.900 01/05/2000]',0.110
'[05:05:15.903 01/05/2000]',0.110
'[05:05:15.907 01/05/2000]',0.110
'[05:05:15.910 01/05/2000]',0.111
'[05:05:15.913 01/05/2000]',0.112
'[05:05:15.917 01/05/2000]',0.114
'[05:05:15.920 01/05/2000]',0.115
'[05:05:15.923 01/05/2000]',0.117
'[05:05:15.927 01/05/2000]',0.118
'[05:05:15.930 01/05/2000]',0.119
'[05:05:15.933 01/05/2000]',0.121
'[05:05:15.937 01/05/2000]',0.122
'[05:05:15.940 01/05/2000]',0.124
'[05:05:15.943 01/05/2000]',0.126
'[05:05:15.947 01/05/2000]',0.129
'[05:05:15.950 01/05/2000]',0.132
'[05:05:15.953 01/05/2000]',0.136
'[05:05:15.957 01/05/2000]',0.140
'[05:05:15.960 01/05/2000]',0.144
'[05:05:15.963 01/05/2000]',0.148
'[05:05:15.967 01/05/2000]',0.155
'[05:05:15.970 01/05/2000]',0.163
'[05:05:15.973 01/05/2000]',0.167
'[05:05:15.977 01/05/2000]',0.169
'[05:05:15.980 01/05/2000]',0.170
'[05:05:15.983 01/05/2000]',0.171
'[05:05:15.987 01/05/2000]',0.172
'[05:05:15.990 01/05/2000]',0.174
'[05:05:15.993 01/05/2000]',0.176
'[05:05:15.997 01/05/2000]',0.178
'[05:05:16.000 01/05/2000]',0.180
'[05:05:16.003 01/05/2000]',0.182
'[05:05:16.007 01/05/2000]',0.185
'[05:05:16.010 01/05/2000]',0.188
'[05:05:16.013 01/05/2000]',0.192
'[05:05:16.017 01/05/2000]',0.195
'[05:05:16.020 01/05/2000]',0.198
'[05:05:16.023 01/05/2000]',0.201
'[05:05:16.027 01/05/2000]',0.204
'[05:05:16.030 01/05/2000]',0.208
'[05:05:16.033 01/05/2000]',0.212
'[05:05:16.037 01/05/2000]',0.214
'[05:05:16.040 01/05/2000]',0.212
'[05:05:16.043 01/05/2000]',0.208
'[05:05:16.047 01/05/2000]',0.203
'[05:05:16.050 01/05/2000]',0.198
'[05:05:16.053 01/05/2000]',0.194
'[05:05:16.057 01/05/2000]',0.190
'[05:05:16.060 01/05/2000]',0.186
'[05:05:16.063 01/05/2000]',0.182
'[05:05:16.067 01/05/2000]',0.177
'[05:05:16.070 01/05/2000]',0.174
'[05:05:16.073 01/05/2000]',0.171
'[05:05:16.077 01/05/2000]',0.170
'[05:05:16.080 01/05/2000]',0.170
'[05:05:16.083 01/05/2000]',0.171
'[05:05:16.087 01/05/2000]',0.172
'[05:05:16.090 01/05/2000]',0.175
'[05:05:16.093 01/05/2000]',0.179
'[05:05:16.097 01/05/2000]',0.183
'[05:05:16.100 01/05/2000]',0.189
'[05:05:16.103 01/05/2000]',0.195
'[05:05:16.107 01/05/2000]',0.208
'[05:05:16.110 01/05/2000]',0.239
'[05:05:16.113 01/05/2000]',0.302
'[05:05:16.117 01/05/2000]',0.377
'[05:05:16.120 01/05/2000]',0.461
'[05:05:16.123 01/05/2000]',0.547
'[05:05:16.127 01/05/2000]',0.634
'[05:05:16.130 01/05/2000]',0.722
'[05:05:16.133 01/05/2000]',0.803
'[05:05:16.137 01/05/2000]',0.849
'[05:05:16.140 01/05/2000]',0.865
'[05:05:16.143 01/05/2000]',0.845
'[05:05:16.147 01/05/2000]',0.786
'[05:05:16.150 01/05/2000]',0.694
'[05:05:16.153 01/05/2000]',0.593
'[05:05:16.157 01/05/2000]',0.495
'[05:05:16.160 01/05/2000]',0.401
'[05:05:16.163 01/05/2000]',0.310
'[05:05:16.167 01/05/2000]',0.225
'[05:05:16.170 01/05/2000]',0.151
'[05:05:16.173 01/05/2000]',0.113
'[05:05:16.177 01/05/2000]',0.103
'[05:05:16.180 01/05/2000]',0.095
'[05:05:16.183 01/05/2000]',0.091
'[05:05:16.187 01/05/2000]',0.088
'[05:05:16.190 01/05/2000]',0.087
'[05:05:16.193 01/05/2000]',0.087
'[05:05:16.197 01/05/2000]',0.088
'[05:05:16.200 01/05/2000]',0.091
'[05:05:16.203 01/05/2000]',0.094
'[05:05:16.207 01/05/2000]',0.098
'[05:05:16.210 01/05/2000]',0.103
'[05:05:16.213 01/05/2000]',0.108
'[05:05:16.217 01/05/2000]',0.111
'[05:05:16.220 01/05/2000]',0.114
'[05:05:16.223 01/05/2000]',0.117
'[05:05:16.227 01/05/2000]',0.119
'[05:05:16.230 01/05/2000]',0.122
'[05:05:16.233 01/05/2000]',0.125
'[05:05:16.237 01/05/2000]',0.128
'[05:05:16.240 01/05/2000]',0.132
'[05:05:16.243 01/05/2000]',0.135
'[05:05:16.247 01/05/2000]',0.137
'[05:05:16.250 01/05/2000]',0.139
'[05:05:16.253 01/05/2000]',0.141
'[05:05:16.257 01/05/2000]',0.143
'[05:05:16.260 01/05/2000]',0.145
'[05:05:16.263 01/05/2000]',0.147
'[05:05:16.267 01/05/2000]',0.150
'[05:05:16.270 01/05/2000]',0.154
'[05:05:16.273 01/05/2000]',0.157
'[05:05:16.277 01/05/2000]',0.161
'[05:05:16.280 01/05/2000]',0.166
'[05:05:16.283 01/05/2000]',0.171
'[05:05:16.287 01/05/2000]',0.176
'[05:05:16.290 01/05/2000]',0.180
'[05:05:16.293 01/05/2000]',0.182
'[05:05:16.297 01/05/2000]',0.184
'[05:05:16.300 01/05/2000]',0.184
'[05:05:16.303 01/05/2000]',0.183
'[05:05:16.307 01/05/2000]',0.181
'[05:05:16.310 01/05/2000]',0.179
'[05:05:16.313 01/05/2000]',0.176
'[05:05:16.317 01/05/2000]',0.172
'[05:05:16.320 01/05/2000]',0.167
'[05:05:16.323 01/05/2000]',0.161
'[05:05:16.327 01/05/2000]',0.152
'[05:05:16.330 01/05/2000]',0.133
'[05:05:16.333 01/05/2000]',0.118
'[05:05:16.337 01/05/2000]',0.109
'[05:05:16.340 01/05/2000]',0.104
'[05:05:16.343 01/05/2000]',0.099
'[05:05:16.347 01/05/2000]',0.096
'[05:05:16.350 01/05/2000]',0.092
'[05:05:16.353 01/05/2000]',0.088
'[05:05:16.357 01/05/2000]',0.083
'[05:05:16.360 01/05/2000]',0.079
'[05:05:16.363 01/05/2000]',0.075
'[05:05:16.367 01/05/2000]',0.071
'[05:05:16.370 01/05/2000]',0.066
'[05:05:16.373 01/05/2000]',0.061
'[05:05:16.377 01/05/2000]',0.053
'[05:05:16.380 01/05/2000]',0.045
'[05:05:16.383 01/05/2000]',0.037
'[05:05:16.387 01/05/2000]',0.030
'[05:05:16.390 01/05/2000]',0.022
'[05:05:16.393 01/05/2000]',0.005
'[05:05:16.397 01/05/2000]',-0.022
'[05:05:16.400 01/05/2000]',-0.051
'[05:05:16.403 01/05/2000]',-0.077
'[05:05:16.407 01/05/2000]',-0.100
'[05:05:16.410 01/05/2000]',-0.125
'[05:05:16.413 01/05/2000]',-0.150
'[05:05:16.417 01/05/2000]',-0.178
'[05:05:16.420 01/05/2000]',-0.200
'[05:05:16.423 01/05/2000]',-0.214
'[05:05:16.427 01/05/2000]',-0.228
'[05:05:16.430 01/05/2000]',-0.242
'[05:05:16.433 01/05/2000]',-0.250
'[05:05:16.437 01/05/2000]',-0.254
'[05:05:16.440 01/05/2000]',-0.257
'[05:05:16.443 01/05/2000]',-0.259
'[05:05:16.447 01/05/2000]',-0.261
'[05:05:16.450 01/05/2000]',-0.264
'[05:05:16.453 01/05/2000]',-0.267
'[05:05:16.457 01/05/2000]',-0.270
'[05:05:16.460 01/05/2000]',-0.272
'[05:05:16.463 01/05/2000]',-0.274
'[05:05:16.467 01/05/2000]',-0.276
'[05:05:16.470 01/05/2000]',-0.278
'[05:05:16.473 01/05/2000]',-0.280
'[05:05:16.477 01/05/2000]',-0.283
'[05:05:16.480 01/05/2000]',-0.286
'[05:05:16.483 01/05/2000]',-0.292
'[05:05:16.487 01/05/2000]',-0.308
'[05:05:16.490 01/05/2000]',-0.323
'[05:05:16.493 01/05/2000]',-0.335
'[05:05:16.497 01/05/2000]',-0.344
'[05:05:16.500 01/05/2000]',-0.352
'[05:05:16.503 01/05/2000]',-0.364
'[05:05:16.507 01/05/2000]',-0.376
'[05:05:16.510 01/05/2000]',-0.388
'[05:05:16.513 01/05/2000]',-0.400
'[05:05:16.517 01/05/2000]',-0.412
'[05:05:16.520 01/05/2000]',-0.421
'[05:05:16.523 01/05/2000]',-0.430
'[05:05:16.527 01/05/2000]',-0.448
'[05:05:16.530 01/05/2000]',-0.475
'[05:05:16.533 01/05/2000]',-0.502
'[05:05:16.537 01/05/2000]',-0.526
'[05:05:16.540 01/05/2000]',-0.547
'[05:05:16.543 01/05/2000]',-0.570
'[05:05:16.547 01/05/2000]',-0.592
'[05:05:16.550 01/05/2000]',-0.618
'[05:05:16.553 01/05/2000]',-0.648
'[05:05:16.557 01/05/2000]',-0.680
'[05:05:16.560 01/05/2000]',-0.709
'[05:05:16.563 01/05/2000]',-0.729
'[05:05:16.567 01/05/2000]',-0.738
'[05:05:16.570 01/05/2000]',-0.745
'[05:05:16.573 01/05/2000]',-0.751
'[05:05:16.577 01/05/2000]',-0.754
'[05:05:16.580 01/05/2000]',-0.748
'[05:05:16.583 01/05/2000]',-0.736
'[05:05:16.587 01/05/2000]',-0.716
'[05:05:16.590 01/05/2000]',-0.689
'[05:05:16.593 01/05/2000]',-0.670
'[05:05:16.597 01/05/2000]',-0.658
'[05:05:16.600 01/05/2000]',-0.645
'[05:05:16.603 01/05/2000]',-0.632
'[05:05:16.607 01/05/2000]',-0.616
'[05:05:16.610 01/05/2000]',-0.597
'[05:05:16.613 01/05/2000]',-0.582
'[05:05:16.617 01/05/2000]',-0.568
'[05:05:16.620 01/05/2000]',-0.554
'[05:05:16.623 01/05/2000]',-0.535
'[05:05:16.627 01/05/2000]',-0.515
'[05:05:16.630 01/05/2000]',-0.496
'[05:05:16.633 01/05/2000]',-0.481
'[05:05:16.637 01/05/2000]',-0.472
'[05:05:16.640 01/05/2000]',-0.467
'[05:05:16.643 01/05/2000]',-0.464
'[05:05:16.647 01/05/2000]',-0.460
'[05:05:16.650 01/05/2000]',-0.457
'[05:05:16.653 01/05/2000]',-0.452
'[05:05:16.657 01/05/2000]',-0.447
'[05:05:16.660 01/05/2000]',-0.442
'[05:05:16.663 01/05/2000]',-0.435
'[05:05:16.667 01/05/2000]',-0.426
'[05:05:16.670 01/05/2000]',-0.412
'[05:05:16.673 01/05/2000]',-0.389
'[05:05:16.677 01/05/2000]',-0.376
'[05:05:16.680 01/05/2000]',-0.360
'[05:05:16.683 01/05/2000]',-0.337
'[05:05:16.687 01/05/2000]',-0.314
'[05:05:16.690 01/05/2000]',-0.289
'[05:05:16.693 01/05/2000]',-0.274
'[05:05:16.697 01/05/2000]',-0.267
'[05:05:16.700 01/05/2000]',-0.261
'[05:05:16.703 01/05/2000]',-0.256
'[05:05:16.707 01/05/2000]',-0.250
'[05:05:16.710 01/05/2000]',-0.245
'[05:05:16.713 01/05/2000]',-0.239
'[05:05:16.717 01/05/2000]',-0.233
'[05:05:16.720 01/05/2000]',-0.227
'[05:05:16.723 01/05/2000]',-0.221
'[05:05:16.727 01/05/2000]',-0.212
'[05:05:16.730 01/05/2000]',-0.202
'[05:05:16.733 01/05/2000]',-0.190
'[05:05:16.737 01/05/2000]',-0.172
'[05:05:16.740 01/05/2000]',-0.148
'[05:05:16.743 01/05/2000]',-0.130
'[05:05:16.747 01/05/2000]',-0.116
'[05:05:16.750 01/05/2000]',-0.104
'[05:05:16.753 01/05/2000]',-0.092
'[05:05:16.757 01/05/2000]',-0.078
'[05:05:16.760 01/05/2000]',-0.068
'[05:05:16.763 01/05/2000]',-0.060
'[05:05:16.767 01/05/2000]',-0.054
'[05:05:16.770 01/05/2000]',-0.049
'[05:05:16.773 01/05/2000]',-0.047
'[05:05:16.777 01/05/2000]',-0.045
'[05:05:16.780 01/05/2000]',-0.043
'[05:05:16.783 01/05/2000]',-0.041
'[05:05:16.787 01/05/2000]',-0.040
'[05:05:16.790 01/05/2000]',-0.038
'[05:05:16.793 01/05/2000]',-0.035
'[05:05:16.797 01/05/2000]',-0.033
'[05:05:16.800 01/05/2000]',-0.040
'[05:05:16.803 01/05/2000]',-0.052
'[05:05:16.807 01/05/2000]',-0.059
'[05:05:16.810 01/05/2000]',-0.066
'[05:05:16.813 01/05/2000]',-0.072
'[05:05:16.817 01/05/2000]',-0.076
'[05:05:16.820 01/05/2000]',-0.078
'[05:05:16.823 01/05/2000]',-0.077
'[05:05:16.827 01/05/2000]',-0.074
'[05:05:16.830 01/05/2000]',-0.067
'[05:05:16.833 01/05/2000]',-0.055
'[05:05:16.837 01/05/2000]',-0.018
'[05:05:16.840 01/05/2000]',0.033
'[05:05:16.843 01/05/2000]',0.102
'[05:05:16.847 01/05/2000]',0.193
'[05:05:16.850 01/05/2000]',0.310
'[05:05:16.853 01/05/2000]',0.441
'[05:05:16.857 01/05/2000]',0.567
'[05:05:16.860 01/05/2000]',0.669
'[05:05:16.863 01/05/2000]',0.718
'[05:05:16.867 01/05/2000]',0.735
'[05:05:16.870 01/05/2000]',0.711
'[05:05:16.873 01/05/2000]',0.638
'[05:05:16.877 01/05/2000]',0.511
'[05:05:16.880 01/05/2000]',0.355
'[05:05:16.883 01/05/2000]',0.196
'[05:05:16.887 01/05/2000]',0.056
'[05:05:16.890 01/05/2000]',-0.043
'[05:05:16.893 01/05/2000]',-0.096
'[05:05:16.897 01/05/2000]',-0.122
'[05:05:16.900 01/05/2000]',-0.144
'[05:05:16.903 01/05/2000]',-0.173
'[05:05:16.907 01/05/2000]',-0.195
'[05:05:16.910 01/05/2000]',-0.207
'[05:05:16.913 01/05/2000]',-0.215
'[05:05:16.917 01/05/2000]',-0.218
'[05:05:16.920 01/05/2000]',-0.215
'[05:05:16.923 01/05/2000]',-0.209
'[05:05:16.927 01/05/2000]',-0.202
'[05:05:16.930 01/05/2000]',-0.194
'[05:05:16.933 01/05/2000]',-0.186
'[05:05:16.937 01/05/2000]',-0.178
'[05:05:16.940 01/05/2000]',-0.168
'[05:05:16.943 01/05/2000]',-0.159
'[05:05:16.947 01/05/2000]',-0.152
'[05:05:16.950 01/05/2000]',-0.146
'[05:05:16.953 01/05/2000]',-0.141
'[05:05:16.957 01/05/2000]',-0.136
'[05:05:16.960 01/05/2000]',-0.133
'[05:05:16.963 01/05/2000]',-0.130
'[05:05:16.967 01/05/2000]',-0.126
'[05:05:16.970 01/05/2000]',-0.123
'[05:05:16.973 01/05/2000]',-0.119
'[05:05:16.977 01/05/2000]',-0.115
'[05:05:16.980 01/05/2000]',-0.111
'[05:05:16.983 01/05/2000]',-0.107
'[05:05:16.987 01/05/2000]',-0.103
'[05:05:16.990 01/05/2000]',-0.098
'[05:05:16.993 01/05/2000]',-0.092
'[05:05:16.997 01/05/2000]',-0.086
'[05:05:17.000 01/05/2000]',-0.080
'[05:05:17.003 01/05/2000]',-0.075
'[05:05:17.007 01/05/2000]',-0.069
'[05:05:17.010 01/05/2000]',-0.062
'[05:05:17.013 01/05/2000]',-0.053
'[05:05:17.017 01/05/2000]',-0.041
'[05:05:17.020 01/05/2000]',-0.026
'[05:05:17.023 01/05/2000]',-0.007
'[05:05:17.027 01/05/2000]',0.010
'[05:05:17.030 01/05/2000]',0.028
'[05:05:17.033 01/05/2000]',0.041
'[05:05:17.037 01/05/2000]',0.049
'[05:05:17.040 01/05/2000]',0.058
'[05:05:17.043 01/05/2000]',0.067
'[05:05:17.047 01/05/2000]',0.078
'[05:05:17.050 01/05/2000]',0.090
'[05:05:17.053 01/05/2000]',0.101
'[05:05:17.057 01/05/2000]',0.110
